time,city,words,rand1,rand2,nor,uni,exp
1970-01-01 00:11:30,Daping,a,236391,-703641458,1164550772.24,921411880.06,1445449670.27
1970-01-01 00:12:00,Kalapanunggal,aaron,398820,-1290438269,-858926347.08,1315841303.28,494164372.41
1970-01-01 00:12:30,Alcanhões,a,315958,462185679,-403982524.69,1255704168.07,124514251.71
1970-01-01 00:13:00,Colón,a,472959,369262490,763632563.14,1456367587.87,293364757.84
1970-01-01 00:13:30,Gujba,abc,330901,969936935,809095895.63,1304239835.98,1372737186.44
1970-01-01 00:14:00,Kangān,aaa,667273,1313783058,559886393.97,1618529234.84,5828496.1
1970-01-01 00:14:30,Jiaoba,a,784735,721148247,203421495.33,1423840515.97,405756550.46
1970-01-01 00:15:00,Tuti,aa,606120,-1201108879,2407474338.55,821873607.54,6571833487.82
1970-01-01 00:15:30,Walton,a,25003,577148839,4423913098.74,1424614068.91,4410839692.3
1970-01-01 00:16:00,Cisompet,a,586869,-1327757144,-1740607974.91,2050097358.18,3301909020.43
1970-01-01 00:16:30,Sar-e Pul,aaa,451950,-310569081,2637967908.03,799134607.74,844070831.13
1970-01-01 00:17:00,Linshui,aa,798346,-1178149838,463157710.96,1455656888.65,1225009841.84
1970-01-01 00:17:30,Sosnówka,aaa,390587,1702546585,-1616364558.04,1479695536.5,3792572284.49
1970-01-01 00:18:00,Rumāh,aberdeen,130741,597858924,-1445088436.04,1304997181.65,2553297268.92
1970-01-01 00:18:30,Batanovtsi,a,591762,1955908986,-1835568689.17,549250603.82,3671072705.93
1970-01-01 00:19:00,Bogale,a,553705,206492709,-913948874.37,1873601231.1,15270694.1
1970-01-01 00:19:30,Zhongpai,a,445102,1549578522,-1940058303.28,1510999937.44,4828273454.99
1970-01-01 00:20:00,San Vicente,a,769496,1670380226,4642499113.85,1397493689.38,2722538586.14
1970-01-01 00:20:30,Barra Velha,a,791199,-1555560543,2670884919.24,383807710.61,4234737574.1
1970-01-01 00:21:00,Lodwar,a,352068,223388356,-975383711.57,74885920.02,924314373.18
1970-01-01 00:21:30,Zungeru,a,250962,969291159,1194414361.28,1430777644.85,114743459.14
1970-01-01 00:22:00,Huancapallac,a,128551,564282733,-343513659.28,1364672531.3,3329011655.22
1970-01-01 00:22:30,Zhaoguli,a,702795,-2142912016,1859274898.49,438463233.89,831155293.23
1970-01-01 00:23:00,Mucurapo,a,720558,712387921,1322549668.97,833890348.51,2436655729.78
1970-01-01 00:23:30,Bitung,anal,894027,1346604924,-613069517.9,892841680.38,38747005.79
1970-01-01 00:24:00,Yinping,a,757021,-442995719,1757135918.87,1973303994.94,633394856.45
1970-01-01 00:24:30,Stryków,a,237990,-1992338963,1435259880.84,1188537083.32,8629211210.79
1970-01-01 00:25:00,Itupiranga,aaron,354996,-930169996,2969817029.6,428008525.76,2033422202.65
1970-01-01 00:25:30,Gamut,abandoned,93291,1401910606,3203679354.88,1455729375.53,92135907.75
1970-01-01 00:26:00,Skrzyszów,aaron,808650,1937797567,683833701.86,1959613910.7,34045831.25
1970-01-01 00:26:30,Khinjān,a,284583,-509985956,-1915320833.65,294630366.91,2380037314.19
1970-01-01 00:27:00,Okiot,a,653287,-828687640,-2070250552.11,123598069.29,224799660.15
1970-01-01 00:27:30,Yanchi,a,976989,-32000236,-3095946742.99,1336028420.6,1691635113.57
1970-01-01 00:28:00,Dongjiang Matoukou,a,699478,1224839186,-2111851202.37,1884265926.23,1209101803.41
1970-01-01 00:28:30,Gaphatshwe,academics,752663,-298661421,-3437335361.57,1737525594.43,3286076746.04
1970-01-01 00:29:00,Labuhan,aa,941247,-1754721972,-433735321.86,1880468956.87,4922514042.24
1970-01-01 00:29:30,Hali,a,398295,1660268155,-1062267377.88,2026587197.34,1946997119.61
1970-01-01 00:30:00,Qiaolin,a,152069,1414144925,-547978817.33,1683491481.95,7954963171.92
1970-01-01 00:30:30,Stare Pole,aaa,523465,1701585072,-1430003220.5,1191882967.7,661172214.16
1970-01-01 00:31:00,Nieuwegein,a,844791,2037073967,929528097.5,129259158.8,480449692.09
1970-01-01 00:31:30,Babat,a,604380,-251731552,507400361.75,683761035.06,4416588744.17
1970-01-01 00:32:00,Grand-Bassam,aa,812846,-1915941183,-545742556.48,1582617616.45,762474371.32
1970-01-01 00:32:30,Zaragoza,a,396894,1093827897,-2786302389.63,217846900.73,993400925.54
1970-01-01 00:33:00,Matai,a,21411,-1071437609,-1619333082.39,1314902092.76,2471349219.84
1970-01-01 00:33:30,Icheon-si,aaron,178598,-307847987,39677418.91,2118186508.53,2909607431.47
1970-01-01 00:34:00,Nagoya-shi,ab,916166,1504864670,-2787681484.4,1335065821.66,9946956460.4
1970-01-01 00:34:30,Kunshan,abilities,930213,-1432496004,-3233768369.88,1760040490.23,818224008.84
1970-01-01 00:35:00,Gamut,abortion,576209,811934030,-109558368.86,1314419812.55,838987920.01
1970-01-01 00:35:30,Vidoši,aa,22087,1574779797,-256235897.19,445715452.84,1160810556.88
1970-01-01 00:36:00,Shatou,aa,123651,1293070437,566819357.95,2130973504.75,3335182342.71
1970-01-01 00:36:30,Teodoro Sampaio,aa,774543,2078460479,599606116.95,809354191.7,2407136862.77
1970-01-01 00:37:00,Lypnyazhka,a,889729,446877540,3808336401.8,1843013640.41,1185454994.38
1970-01-01 00:37:30,Lyon,a,561161,856194340,1500824769.43,13218926.1,3151609504.59
1970-01-01 00:38:00,Adelaide,a,49607,515505893,-580157277.97,95297392.08,125976521.61
1970-01-01 00:38:30,Starcevica,academic,200592,1373415345,1166909469.18,1514182422.5,1194253945.56
1970-01-01 00:39:00,Annotto Bay,a,712121,546320171,-4362560129.42,436286646.08,1231892619.8
1970-01-01 00:39:30,Farah,a,820641,-1310768415,-564709144.95,1178049509.31,1501853932.25
1970-01-01 00:40:00,Xiayang,a,207222,2146990104,-562536663.27,1500755770.97,4741871461.88
1970-01-01 00:40:30,Villasis,abandoned,94996,-1926618127,2517169183.85,804772534.86,2085201171.16
1970-01-01 00:41:00,Makata,a,785357,-1264215503,-1719572436.52,230099644.4,8684277759.93
1970-01-01 00:41:30,Sukasari,a,338698,-1790439695,-2049202263.27,1268133384.05,979792951.99
1970-01-01 00:42:00,Starcevica,a,996751,-1950450191,5780631933.38,2028941435.18,2714669772.82
1970-01-01 00:42:30,Larreynaga,aaa,167908,-1068252514,-73548386.48,852254329.24,1682131163.88
1970-01-01 00:43:00,Newton,aaa,423170,1929555329,-1999025715.66,1573705727.4,514681127.02
1970-01-01 00:43:30,Kakamega,a,23162,391591362,-3410943915.77,348901559.54,4390303094.66
1970-01-01 00:44:00,Lusambo,abilities,209596,1883468563,2301816529.0,1501739752.81,1686168089.09
1970-01-01 00:44:30,Ryazhsk,aaa,117335,1633840972,2315100188.59,2094484345.38,2979024137.61
1970-01-01 00:45:00,Danao,acne,601832,-1138712386,-2829394021.31,1746415484.18,1474450420.17
1970-01-01 00:45:30,Chornomors’ke,a,101480,1988970987,2607749274.1,761636940.77,2195711093.3
1970-01-01 00:46:00,Luoshe,aa,975922,-1293603833,-3160510116.43,1200874180.47,1140309485.1
1970-01-01 00:46:30,Itupiranga,a,915162,-2028957142,-2165324667.66,1744404832.16,1371427868.48
1970-01-01 00:47:00,Cluain Meala,a,483728,2040368694,-1339413238.76,254462060.28,5473438288.44
1970-01-01 00:47:30,Kauswagan,aberdeen,635855,1820120427,-1828322204.61,349862919.64,2429639552.3
1970-01-01 00:48:00,Kaliasin,aaa,638453,-2072929725,-3361879074.96,1530237488.45,267643097.91
1970-01-01 00:48:30,Hartola,a,147454,1434151717,-2157062579.76,90297661.37,1159073154.66
1970-01-01 00:49:00,Boromlya,a,429536,-1806706189,-2931411869.97,1377070952.97,13259295672.57
1970-01-01 00:49:30,Qianzhou,aaa,166210,-2037640749,817406675.85,892392205.37,3554384255.87
1970-01-01 00:50:00,Huibu,aa,987346,1523029875,209074407.76,157571380.12,1825841137.1
1970-01-01 00:50:30,Kakamega,a,317471,-524071572,295177067.79,175023056.86,17089851.3
1970-01-01 00:51:00,San Vicente,a,141927,-324673171,-545117915.93,1461024084.65,317103312.33
1970-01-01 00:51:30,Itaparica,aa,655903,-633335421,2559490767.07,156252445.46,4732785581.22
1970-01-01 00:52:00,Sigetec,a,906606,-1782633104,4613710722.18,602086915.72,1400929049.01
1970-01-01 00:52:30,Zaragoza,aa,756273,703014934,-3484124271.66,1953506525.16,1728587093.4
1970-01-01 00:53:00,Aubervilliers,a,166674,117739157,1752371111.57,108088049.85,6025664275.95
1970-01-01 00:53:30,Zhongfeng,aaa,456400,1642403969,332309749.79,1474307730.35,2830337815.66
1970-01-01 00:54:00,Outlook,aaa,657685,1581559109,-558673392.15,2087248704.82,5341738261.43
1970-01-01 00:54:30,Tonglin,a,440103,-2029426567,1275261719.18,1904286582.81,2559935314.88
1970-01-01 00:55:00,Arsen’yev,a,999717,-9029892,1932583713.48,1361979873.44,275319352.22
1970-01-01 00:55:30,Samut Songkhram,a,923337,253670427,2842075347.58,1456946888.98,1247321962.71
1970-01-01 00:56:00,Helsingborg,a,764249,936283577,-84507969.19,826525230.24,632688769.55
1970-01-01 00:56:30,Santo Antônio de Posse,aa,681024,-966924527,-940006557.54,707897798.47,938947368.08
1970-01-01 00:57:00,Ponggeok,a,665844,-2139584115,2769984660.85,810683136.07,2623035851.63
1970-01-01 00:57:30,Duofudu,aaa,666464,-1431286350,1312682939.03,768555785.09,4478942596.35
1970-01-01 00:58:00,Główczyce,a,851503,1057393479,117751925.76,1260827339.41,1381816075.48
1970-01-01 00:58:30,Bryansk,a,715415,-716817951,2380609843.22,1218862972.83,4336475799.4
1970-01-01 00:59:00,Cakran,a,390094,-1702289576,2527390049.28,1231917553.12,638253378.44
1970-01-01 00:59:30,Metz,aa,594889,342957698,-1873795227.69,220352746.24,843587131.13
1970-01-01 01:00:00,Doumen,a,139282,-1099044366,1796790465.32,2131659384.53,1374666548.43
1970-01-01 01:00:30,Tonghae,aa,716038,1230363779,-2411581824.0,1381654319.81,3548812627.71
1970-01-01 01:01:00,Jatisari,aaron,787807,-2041871487,675321154.81,1531805797.85,5014083295.07
1970-01-01 01:01:30,Libertad,aaron,122383,671797529,-615499787.46,1608562848.47,372432234.25
1970-01-01 01:02:00,Jackson,a,328603,1235624295,728912850.81,1505418067.83,2613644829.8
1970-01-01 01:02:30,Libertad,a,166783,1723966960,-382932314.11,409342809.27,93827979.94
1970-01-01 01:03:00,Chervonohryhorivka,a,801169,356652562,-2043125326.54,1886098112.99,361033698.95
1970-01-01 01:03:30,Agía Triáda,a,718153,1844097340,-389750562.42,1621550492.18,293085686.08
1970-01-01 01:04:00,Kebonan,a,507235,1148017433,-1867578336.79,262965162.47,3841686073.79
1970-01-01 01:04:30,Norrtälje,a,270868,1180770185,-1929784707.12,118149425.46,4461067444.95
1970-01-01 01:05:00,Türkmenabat,a,5490,433519115,-749591287.1,1183195745.21,1082727405.04
1970-01-01 01:05:30,Karang Daye,aa,306463,-565558043,172091191.42,1080888090.54,4027040759.13
1970-01-01 01:06:00,Bonebone,a,48064,-1660662022,-768274962.91,2029744276.87,2182043680.01
1970-01-01 01:06:30,Wierzbica,a,777754,-773871286,4216570459.2,772843935.52,1930402229.77
1970-01-01 01:07:00,Reims,aaa,355290,-1912433513,-941679135.91,2062976776.37,106113778.75
1970-01-01 01:07:30,Chuarrancho,a,362214,-1250439581,-2537571476.3,564276150.25,726207478.2
1970-01-01 01:08:00,Hwange,aa,140697,-1586539402,-1562924557.15,1044008075.7,649917642.19
1970-01-01 01:08:30,Caucagüito,aaron,978575,-1342803613,1487163602.59,1678257224.09,347380455.45
1970-01-01 01:09:00,Mandráki,a,567074,1380298254,-572954524.0,1638889123.65,1527584801.85
1970-01-01 01:09:30,Utsunomiya-shi,a,352255,-1742206755,-2067164451.73,133946821.95,323073233.64
1970-01-01 01:10:00,Banhā,accordingly,718086,1913302040,678602512.63,536252261.73,1672775089.06
1970-01-01 01:10:30,Warlubie,a,783197,-1549152019,1554624656.92,1694064747.83,859520170.03
1970-01-01 01:11:00,Kvänum,aa,424947,-371713531,1567431158.52,375556619.69,2968124675.92
1970-01-01 01:11:30,Jasienica Rosielna,aaron,535138,-566445449,2085058119.76,121843791.7,808167134.89
1970-01-01 01:12:00,Dulangan,a,1735,-1328023891,-3764350948.61,2020480535.5,1130023645.13
1970-01-01 01:12:30,Catalão,a,572952,2042722509,1476003058.44,1236740606.99,1548048613.3
1970-01-01 01:13:00,Ban Pong,aa,175988,1855251766,-3872602003.65,1135627399.02,2846905217.64
1970-01-01 01:13:30,Jasienica Rosielna,a,280162,-2059999781,2391645551.16,277858062.97,460419895.56
1970-01-01 01:14:00,Kiviõli,a,358127,-1826749863,-1085235817.9,806277318.34,3355541110.68
1970-01-01 01:14:30,Bandaragung,ab,12351,-1746436442,3208037016.87,449534744.65,275257590.19
1970-01-01 01:15:00,Jiling,aa,62671,-1593187217,3183757161.04,1242867754.32,4536374283.07
1970-01-01 01:15:30,Zbąszyń,a,743433,-1526046656,-2327357547.85,67107828.74,113472658.42
1970-01-01 01:16:00,Yanyang,aa,329372,2071064766,-536531753.38,2106253374.06,4038638379.12
1970-01-01 01:16:30,Buruanga,a,60765,681209040,1333964914.19,1946426094.1,5078322191.83
1970-01-01 01:17:00,Bech,academy,447606,1802711799,-3254550453.34,466741515.89,3800628628.41
1970-01-01 01:17:30,Kyshtym,a,210288,900069450,495776055.09,637503256.67,852066454.15
1970-01-01 01:18:00,Lemery,a,417250,2068501685,-1522336250.99,471376348.43,4535591536.96
1970-01-01 01:18:30,Kuroishi,a,270965,-637914344,-3523354135.24,3832435.7,853087822.25
1970-01-01 01:19:00,Wierzbica,aa,934813,-1572488698,-4149160373.79,399614463.0,4962868227.32
1970-01-01 01:19:30,Kawengan,a,852409,-1014213841,-1820519707.34,170277027.2,6850392646.68
1970-01-01 01:20:00,Liuxiang,aa,334650,-663189827,2722382297.33,53147190.99,2297938740.25
1970-01-01 01:20:30,Richmond,a,728287,-614132575,-210247746.89,745145934.23,3822377637.9
1970-01-01 01:21:00,Novo-Peredelkino,a,838576,1382934558,-2900505446.03,1863975054.98,4174970787.59
1970-01-01 01:21:30,Suban,a,711069,1209460698,-1987267830.78,1872750919.67,426411289.79
1970-01-01 01:22:00,São Sebastião,a,834037,575352148,-1950127513.06,277901003.94,606692367.3
1970-01-01 01:22:30,Sara Kunda,a,899578,-1456813150,216208244.84,1122611544.5,727682897.99
1970-01-01 01:23:00,Yanyang,ab,278300,-277163887,-645435913.83,414726757.72,390147258.13
1970-01-01 01:23:30,Gromadka,aa,501538,-2136122878,2343093033.45,159885442.62,4400224700.59
1970-01-01 01:24:00,Baolong,a,165279,-1367275287,-4039115720.55,857489227.9,1998010364.04
1970-01-01 01:24:30,Glugur Krajan,aaa,334569,-688869648,234286968.84,1158141513.37,784489173.41
1970-01-01 01:25:00,Temuco,a,735333,-710462407,93370931.99,416585325.81,3149719304.04
1970-01-01 01:25:30,Mérignac,ability,227436,-1070825355,-2137928517.47,1493027674.01,1779612394.1
1970-01-01 01:26:00,Dinititi,aaron,73692,1408749166,-2657329755.55,1352945360.02,1996063484.8
1970-01-01 01:26:30,Duyang,aa,941034,1385561506,814553754.35,1502161516.3,7153652930.72
1970-01-01 01:27:00,Lavradio,aa,14091,-250536696,-4561471076.19,645666898.58,125083618.18
1970-01-01 01:27:30,Awilega,a,604226,-1223714189,-2336378737.49,988878632.1,43658560.63
1970-01-01 01:28:00,La Gomera,a,509244,-2141832837,-927849599.91,80183008.19,1447175645.48
1970-01-01 01:28:30,Rakitovo,a,365352,1508641436,-1163627713.18,1237097066.44,85738779.57
1970-01-01 01:29:00,Teodoro Sampaio,aa,362463,-839909134,-1515402529.67,1557651905.65,9373765967.05
1970-01-01 01:29:30,Mulawato,a,7743,508852213,1166229226.33,206049700.73,3168072765.33
1970-01-01 01:30:00,Qiaolin,aa,73579,350291735,-4642373703.27,1963629642.03,1631782055.92
1970-01-01 01:30:30,Onueke,a,41336,-2034284775,1624385067.23,313054265.7,4852640670.97
1970-01-01 01:31:00,Pondoktelo,a,134715,2143720439,175556974.49,429157057.45,633251265.15
1970-01-01 01:31:30,Kauswagan,aaron,927678,314758045,-2252588873.27,1591319072.01,5907185217.89
1970-01-01 01:32:00,Luoshe,a,203691,1592576469,2699938070.08,890176322.51,10176035062.18
1970-01-01 01:32:30,Karabanovo,a,418029,232563096,2603463049.12,1984254375.04,104626124.98
1970-01-01 01:33:00,Khóra,a,975058,1472785418,-1856132884.3,977842860.77,301273683.82
1970-01-01 01:33:30,Giado,abraham,809418,-1338813947,1932813348.0,340141256.06,2999360589.41
1970-01-01 01:34:00,Ramos,a,466589,-1816756694,2812861125.37,1865356761.79,5503690716.62
1970-01-01 01:34:30,Edéa,a,102764,2070126129,-766785459.41,737482052.83,829418395.93
1970-01-01 01:35:00,Tatsuno,a,132876,-1493548470,4261260431.09,734268663.54,3107779586.63
1970-01-01 01:35:30,Lamego,abc,186538,-144919744,3108310109.79,874660510.56,3638992681.11
1970-01-01 01:36:00,Jarash,a,607969,1592196501,-2740160234.7,1277126374.74,1738677568.88
1970-01-01 01:36:30,Jayyūs,aa,374350,881833042,649185989.05,902149831.74,4997725625.64
1970-01-01 01:37:00,Puncan,a,781753,-1913012991,-4120201773.7,3348467.96,75789802.17
1970-01-01 01:37:30,Nanshe,a,353918,-1348800382,-2136790100.33,1231377851.84,2171132887.5
1970-01-01 01:38:00,Klippan,a,894215,-489451086,591216241.74,1144502202.07,667545258.02
1970-01-01 01:38:30,Strabychovo,aa,791717,435168753,13128425.71,1812960397.88,612703957.13
1970-01-01 01:39:00,Colón,a,321592,-1302102308,3207086439.22,1253971981.6,4147293196.36
1970-01-01 01:39:30,Rýmařov,ab,137370,-1969533859,2892709091.69,1881492974.64,6447279462.45
1970-01-01 01:40:00,Norrtälje,a,251190,-81928794,35663241.35,141644507.96,1822837364.66
1970-01-01 01:40:30,Xibu,aaa,335882,-1198827840,2014812622.89,1478830325.95,2592232258.08
1970-01-01 01:41:00,Gasa,aa,883057,718376055,-836134013.9,573894870.43,364810368.08
1970-01-01 01:41:30,'Ali Sabieh,accident,535046,1072802839,758457766.98,1238016217.22,1970527210.19
1970-01-01 01:42:00,Jackson,a,580873,441568505,-1990771271.52,427457212.25,3216824108.67
1970-01-01 01:42:30,Muqi,aa,920901,-907266551,116806488.31,656710130.79,2188699034.63
1970-01-01 01:43:00,Bosobolo,a,785287,274972413,-1489987998.8,824335081.91,657247143.43
1970-01-01 01:43:30,Ołpiny,a,899954,-1790362222,-658546334.26,1766609493.6,5355098266.23
1970-01-01 01:44:00,Örebro,a,954322,1996783822,-615631214.68,1328127419.37,3128460297.61
1970-01-01 01:44:30,Argentan,ab,590364,-1380235390,3948896229.34,1567812615.88,932638948.72
1970-01-01 01:45:00,Zhangguanying,a,78109,363066226,912397131.65,555577992.96,2219181927.27
1970-01-01 01:45:30,Bosobolo,aberdeen,814775,-1606576893,1911406289.41,1594705435.82,2383280262.36
1970-01-01 01:46:00,Mirões,about,60921,-1701807529,-1880875390.02,1217395936.15,1531022819.72
1970-01-01 01:46:30,Nanhe,a,981721,-821622748,-162756270.89,1677563897.19,3118366380.7
1970-01-01 01:47:00,Ribeiro,aa,742698,1402481245,626230193.01,636682774.95,1314667572.79
1970-01-01 01:47:30,Novo-Peredelkino,a,651489,-563848167,951550625.46,1911558105.25,659330882.35
1970-01-01 01:48:00,Cluain Meala,a,5593,410131145,3745522835.14,616334418.9,16338842.53
1970-01-01 01:48:30,Azilal,a,326201,1425488515,3159103864.85,693682104.2,646493003.07
1970-01-01 01:49:00,Basse-Terre,a,715575,1283869051,-1411335447.43,1183556283.91,4648083594.91
1970-01-01 01:49:30,Saint-Denis,a,825437,-1364865989,-1009867195.74,148399585.19,1791190556.67
1970-01-01 01:50:00,Gujiadian,aa,665266,-1017537262,-86543641.66,1269327889.9,2206934404.03
1970-01-01 01:50:30,Arranhó,a,371065,-1181934986,1294980382.45,1067495254.07,1693482429.99
1970-01-01 01:51:00,Kuroishi,a,420196,-1692023653,1790813594.48,1459850922.72,3922085745.15
1970-01-01 01:51:30,Basse-Terre,a,416211,1148719774,2142519317.7,2085310222.93,3382994999.61
1970-01-01 01:52:00,Santa Catalina,a,314913,-473667711,-1022955830.97,1297468983.92,2867210649.37
1970-01-01 01:52:30,Yijing,aaron,684624,-754597176,-1013586268.04,1526204838.45,6039150215.57
1970-01-01 01:53:00,Marly-le-Roi,a,904839,1357932819,1879731266.54,2023636489.4,4313024035.87
1970-01-01 01:53:30,Al Majāridah,a,644657,884045304,681125671.82,1701942775.7,377255453.72
1970-01-01 01:54:00,Magangué,a,680650,125894370,-2808577140.78,852979043.69,294352788.36
1970-01-01 01:54:30,Visoko,aa,789952,1340750831,3763209880.44,1492558749.34,4653687553.09
1970-01-01 01:55:00,Golmud,aa,596964,-1087043527,-950765695.38,408764651.3,815923703.98
1970-01-01 01:55:30,Nanshe,a,719775,-1411307858,-3552099435.28,1688616309.5,1143863170.2
1970-01-01 01:56:00,Tenjolaya,a,377475,1083444589,-982528430.37,2099515489.95,1187088811.12
1970-01-01 01:56:30,Wuquan,a,811475,-944083805,-2531539035.19,153613612.56,337388919.09
1970-01-01 01:57:00,Gorbunki,a,180802,-1904321299,-731074770.71,1163283506.6,3459607682.92
1970-01-01 01:57:30,Tangub,aa,267345,-1591443278,591541236.7,1792573852.32,4348107303.19
1970-01-01 01:58:00,Maclear,aa,769363,-1699582433,212656279.66,1975449920.48,1050499065.16
1970-01-01 01:58:30,Gritsovskiy,abandoned,678868,65308820,2138255665.7,1738019128.58,5095342781.7
1970-01-01 01:59:00,Ulashan,aa,464384,175936457,-853857528.98,1843017996.96,582120099.18
1970-01-01 01:59:30,Ozurgeti,aaa,665116,-1482149679,-38595315.19,1732981720.5,254006458.64
1970-01-01 02:00:00,Yinping,aaron,129873,1265119890,898363665.63,1896338427.33,5683583083.15
1970-01-01 02:00:30,Pailles,a,349865,-1465093457,3464527706.6,596690239.41,34250088.1
1970-01-01 02:01:00,Barberena,a,348798,1863142217,226951182.94,292552370.1,3351844604.0
1970-01-01 02:01:30,Al Majāridah,a,921548,-1323163039,-1850281626.43,456141046.16,98697493.08
1970-01-01 02:02:00,Dordrecht,aa,318612,-326284067,-402861298.79,1381098532.71,2368340751.9
1970-01-01 02:02:30,Ugljevik,a,711478,-436667173,-3897624975.8,1076382578.46,3977300541.18
1970-01-01 02:03:00,Warlubie,a,202271,-1353131205,-3361099030.15,1001740678.51,161981007.97
1970-01-01 02:03:30,Saurimo,a,380068,-1748070062,960738567.75,2052823311.6,3058704638.98
1970-01-01 02:04:00,Alcanhões,a,681064,907767677,-2967929312.61,494629651.65,230812484.01
1970-01-01 02:04:30,Shirokovskiy,a,750624,2055782552,1929463221.38,761824815.95,3765542930.52
1970-01-01 02:05:00,Al Majāridah,aaa,146998,1351339750,1434249746.17,899139459.57,2873968599.58
1970-01-01 02:05:30,Paris La Défense,aaa,212074,1530535435,-101390426.94,1384541961.77,1292084393.42
1970-01-01 02:06:00,Zhongpai,absence,613662,992673841,-1478016882.32,1075081669.37,1241885533.42
1970-01-01 02:06:30,Hushan,a,740802,-1952656975,686892212.48,691537867.23,13399316.48
1970-01-01 02:07:00,Konde,aaron,373910,-1206387812,-3442124183.12,1055556536.86,340643730.93
1970-01-01 02:07:30,Tonosí,a,357211,1896492375,806082530.32,1922564314.16,393597383.07
1970-01-01 02:08:00,Šabac,a,383302,-1382386762,1016622112.4,947160868.07,2648871794.32
1970-01-01 02:08:30,Catolé do Rocha,aa,273460,1298109262,2390437464.29,687562979.4,5250496882.48
1970-01-01 02:09:00,Jiucaizhuang,aa,694929,-277739797,410247458.12,1405410292.0,317946690.75
1970-01-01 02:09:30,El Tambo,a,322480,-20259485,-1060224588.68,1238869008.62,1808718523.37
1970-01-01 02:10:00,Czarna Dąbrówka,a,946446,795084860,-1303839046.76,924088713.06,231748327.66
1970-01-01 02:10:30,Santa Luzia,a,426955,-1285097657,890694204.5,748534331.9,1334967267.37
1970-01-01 02:11:00,Kedungringin,a,360050,-200115482,-2539416008.94,35989374.64,23795215.78
1970-01-01 02:11:30,Bryansk,aaron,75648,1463298681,-1801214388.0,1158469482.54,4716943380.37
1970-01-01 02:12:00,Placetas,a,485578,-1296999803,863766689.81,349548219.36,484984989.25
1970-01-01 02:12:30,Arrentela,a,123737,-559214277,-496094401.81,787238334.14,717472817.54
1970-01-01 02:13:00,Xiongshan,a,904035,-2073945950,-2128471855.68,193887175.29,3691709345.35
1970-01-01 02:13:30,Baitu,a,642642,-65531719,-69601636.2,559223375.74,850477449.51
1970-01-01 02:14:00,Palencia,aaa,243820,1750043341,4476071157.87,499452946.83,2098930438.31
1970-01-01 02:14:30,Bečej,a,719271,69566322,2409651454.94,1136840051.22,84848903.62
1970-01-01 02:15:00,Francisco Villa,aa,60697,-1503591751,-430020350.71,1921932129.96,2015960716.72
1970-01-01 02:15:30,Novo-Peredelkino,a,539452,-1046745168,4380077471.52,1460938465.03,1306118091.27
1970-01-01 02:16:00,Jiuhe,a,544529,1873566125,4897138049.22,1389541050.57,610833239.28
1970-01-01 02:16:30,Zhangjiaji,abraham,882562,-1843942410,-344411790.5,2120386611.36,1945242386.83
