StreetName,rand1,nor1,uni1
Lake View,754596,914096358.1340767,1650671767.462308
La Follette,47821,1713753236.0768142,737213292.4962896
Bartillon,581317,1156576136.2097003,3073424981.6671534
Longview,806644,1282955951.4653888,5006696082.367892
David,493374,150619085.73989943,413469969.2616407
Oxford,593137,1438603847.2849624,186557421.36872432
Graceland,715244,1270848618.7327118,4250449947.3101244
Bashford,707367,505037081.8299507,1177574854.9859529
Katie,986379,62613831.65535626,218810269.15997422
Dexter,998290,1537405653.2873645,1209142366.5730095
Buhler,133165,253553082.64674714,4232134636.7871523
Arrowood,912492,1587862917.9734328,616146535.5323834
Eliot,986865,664873466.2243085,708016926.3634201
Melby,621827,1510394814.609601,248176436.62859014
Marcy,33847,1531268503.1023324,134340845.9915496
7th,739202,1411511783.946262,249099962.79008028
Jenifer,150894,634541033.4288101,4580066315.072529
Maywood,698175,545453988.343699,3187188684.2416215
Vernon,823432,1445741317.0426219,2891099830.119104
Golf Course,673187,592538970.0982326,1763455209.9677384
Northview,815474,902974840.6187152,874674075.7837487
Bowman,832155,1543495770.875038,546720710.3678017
Dryden,344741,2083365089.1601453,1966390299.5230427
Lake View,407016,619769394.7032101,545894798.1675296
Canary,50174,273957176.74704945,2625336645.9479604
Nancy,501858,1767850780.210379,215876087.33943975
Tony,201493,1631961342.9058242,8473591515.289565
Graedel,781818,686973749.1016799,87944445.51870199
Messerschmidt,737771,1152913638.160348,3670268937.7793765
Pierstorff,823758,541335079.369237,4721549864.92861
Esker,107340,1277983850.4664252,3303993974.643736
Hintze,591437,139107020.5407423,10436630161.618488
Saint Paul,277137,1338480307.1233199,2000303937.2279313
Holy Cross,731663,1281451476.5739467,5778995.777480773
Marcy,513483,643940826.385634,855156023.8273338
Thompson,982005,1846046463.553122,4532796281.579326
Rusk,503296,1553964605.872269,1317165326.8411517
Dapin,305797,968609741.4319837,968918366.243258
Lillian,341057,1431490190.9879713,13444830021.837795
Loomis,921286,1947958410.9096074,9252816189.740898
Dahle,231551,288685109.9731188,3074110167.3354654
Coolidge,110407,1918872774.3140638,4577609894.594268
Schurz,563645,641128505.0709252,436555208.24986124
Hansons,341690,1370524982.3835614,197353752.38705713
Amoth,36722,45167108.82085633,2346108868.1608763
Porter,168484,1537128837.0281312,341191972.2809401
Kenwood,720401,1610194727.7816093,6128348570.891161
Columbus,595164,1217326042.8321183,1527245863.1311612
Dapin,981083,2095248604.9754128,3074219009.574774
Darwin,643162,87257566.15507127,6497378738.3786745
Anhalt,501177,131848179.24698138,5013424866.987067
Clemons,375902,728057545.8770593,3775947338.258757
Hoard,804042,837447522.5206772,360002455.75018954
Monterey,713075,108190571.94683607,4579692791.87794
Hudson,987854,1192953446.855835,236540084.03885105
Morningstar,353149,900142363.8650473,3016093731.116988
Magdeline,152069,696725245.5660204,2950693577.2425294
Huxley,949618,1847258049.1322846,651887806.7102296
Northport,924372,1918079.9838532805,4332005308.905614
Coolidge,347274,1366782498.4377809,69787413.67376281
Steensland,822745,973675396.0431447,1194425939.9905016
Service,235852,1375384608.249188,3870161710.5253696
Lakeland,236930,829533627.8772013,3082887144.519335
Browning,15879,644155568.6787819,1219129033.9274185
Warbler,283974,483223001.26008964,4563215205.481632
Mallory,542656,1170464431.1058128,1795417230.2767565
Dexter,596535,753331960.9175295,1056568500.2031883
Coolidge,192340,1448049228.872749,4578096419.7083845
Green Ridge,251087,8329174.524245043,876510371.0219384
Sloan,386535,2123567295.575493,363711275.3199933
Scofield,842665,1635584037.330121,1194987744.4822423
Dexter,323308,1275783006.7037234,4578652487.870103
Anzinger,370321,1302596950.8927739,1115445725.3177214
Golden Leaf,341162,1765469778.2334821,610494320.0664575
Eggendart,648445,752202352.4625723,1250078188.4493701
Continental,726285,1935584634.5141697,1495527998.413787
Buena Vista,331457,1785484272.8299856,4032665464.6753316
American Ash,632291,141264566.73567358,1164819767.3195875
Menomonie,129544,1482008005.7148695,1255812046.112303
Oak Valley,850546,848950931.9829267,826456585.5841802
Anniversary,947085,219685185.36130485,1424156965.2789059
David,809016,1679430646.7608883,233051709.30143648
La Follette,347883,1078004418.9342616,2397299172.9693484
Nancy,105850,284756925.95318466,5031601535.358531
Bunting,996488,5567008.048603997,1414257070.1717947
Brentwood,470164,636561699.4074699,6934624156.630878
Eagle Crest,620740,2106705636.0003583,6418934226.422499
Schurz,430849,2067169304.5226219,559272297.8702762
Kim,313086,1398407920.2437012,437179035.26921475
Oak,834525,217823151.63925698,1902730473.1091225
Melrose,724160,1337331331.794008,1309814594.0037243
Hoepker,211106,493168424.42650354,4423275067.945814
Warrior,560773,871991643.478043,3236833716.4318013
Eggendart,584955,1813131584.7187138,4004279226.298902
Talisman,46944,1812314137.904997,1286656976.246708
Waxwing,297835,1425964128.881695,2058248160.7623925
Crest Line,8384,1442843481.179595,1301147167.9942389
Mccormick,317710,151729111.89938667,503892711.413864
Chive,851400,1851337159.874214,435277318.52138066
Clemons,105040,1194057894.428596,372561820.8423797
Reindahl,426713,1665536599.745762,4030628855.878353
Sugar,238821,733769225.7069793,358751222.1096745
Sommers,167171,1078819342.682375,1888927423.9896688
Sauthoff,230130,1487640194.064285,361595531.6405402
Sloan,422579,647492837.6320883,1543072252.3363135
Ridgeway,251894,96852891.02626543,2150479560.3972344
Del Mar,700266,1657751336.0473275,398836816.8829441
Ridgeview,843194,997380119.7712607,9775008305.689562
Hooker,19770,559529894.0721433,1865687386.240176
Buell,62830,1494587846.8881269,207999314.6306004
Meadow Vale,732496,299223225.42617625,5583147280.903406
3rd,489136,564976852.134602,3587289469.3831916
Elmside,105511,891976002.7584251,5255933534.966046
Basil,23113,2023922694.1074758,210862285.2765682
Dexter,257080,1493592598.001256,987935352.6087322
Helena,263469,262273493.96867135,1010340373.6137488
Butterfield,231675,104200648.36460093,128524964.7818142
Lotheville,285256,1085285883.7799795,698897531.6971289
Ronald Regan,867547,994547902.3830827,5096947115.325044
Lotheville,350600,708830782.8453081,4609280539.983305
Forest,31232,183503898.03635883,3273614930.679556
Menomonie,783039,1899286057.7336524,2927714797.5529733
Memorial,454594,1292489937.3505096,486271310.298386
Del Mar,527039,2083461507.6899936,1830460286.1307526
Glendale,893359,586814798.2167455,934122838.5571312
Bartillon,493582,763045486.0968127,1369405822.324088
Dottie,296125,137719354.03547165,260619135.70543724
Victoria,199996,1401050785.2979367,9264281361.472795
Esch,142651,362544294.63047093,1585012802.1675985
Ryan,103689,1227069070.1026502,1953715673.4941332
Oneill,132069,62492779.90434546,2058683325.2122755
Hanover,26109,2055591266.8412497,4961543762.980456
Gateway,105123,550653107.9190937,1871653115.6236606
7th,935914,1156850024.570362,2904103624.980634
Marcy,971778,1165797500.684012,2863214254.4560456
Artisan,898140,1810275054.8477979,21693025.380102005
Mockingbird,102743,1685143522.0690687,3915184729.5276823
Birchwood,223588,1173061959.4008353,2778948802.812354
Lillian,43316,900021823.7820911,731156959.5231838
Barnett,123683,1458404863.7745695,233233482.4022159
Wayridge,118657,644636132.8587608,670982877.7450967
Fulton,493830,309096662.07698596,4848875567.036435
Hudson,275548,1899642215.018607,199072937.024858
Talmadge,126800,907874959.0477122,498262158.60045815
Walton,365368,1326873901.6623452,177239706.1563257
Bobwhite,902325,1908134364.324024,1883118343.6638875
Rutledge,320388,923443296.8447161,8966384629.1342
Charing Cross,665944,459886199.7005643,19235858.54477449
Hanover,284826,1352782759.3286896,5353879374.586707
Mendota,833971,451761814.684401,842912886.570493
Lakewood,314892,1602236500.2278886,873972483.4104347
Prairieview,492068,2067181600.9486747,3885711405.7966743
Pine View,460110,1406880268.5911298,317131110.86884964
Stone Corner,56693,58789434.55989215,1775050472.5352232
Schmedeman,213102,288220218.34215164,2901300437.6722693
Walton,504480,396238615.37057865,997439831.4183081
Corry,392665,761580637.3160937,115679175.03308088
Myrtle,481918,2144647402.3903384,1032467537.6409448
Pennsylvania,884627,927907904.1384368,785578775.4829365
Homewood,525161,310291007.3784218,1222762136.86312
Thackeray,5700,892432344.7428279,2109378908.2224007
Lake View,277292,932294598.8081522,5039765518.615061
Sutteridge,596992,1009702556.0801431,1540244804.1347375
Birchwood,956413,1543252089.0153687,480117213.69870865
Kim,834781,1953588174.1955757,2225213106.278203
Kensington,192296,435439306.1166426,215470136.60040867
Monument,754579,1988566863.3342726,6864358509.899491
Continental,587370,232959090.98390692,660152484.5366304
Bartillon,47159,604938174.4417899,242307617.58779287
Monument,969624,1068074427.5781503,131262351.75126232
Rigney,489665,1536718377.2749157,2769963355.550887
Stuart,414086,578128296.6010301,2845584317.178774
Sloan,212815,1956330086.7986045,2957609232.8245397
Laurel,38161,1967634301.4463613,1142877566.8349242
Thackeray,625496,307982647.9314228,4097472018.9243426
Pine View,684119,1103795765.4291503,1852552320.9582558
4th,288496,476298682.6364265,2472552075.3406234
Fordem,14191,1677859134.3425717,1722052139.5273936
Transport,397650,1428679133.8057315,348016299.16779196
Pawling,99287,1189865351.337982,2082817050.6781852
Glendale,824880,1269649444.7184474,1144249991.673045
Miller,674118,467371755.9260887,291902322.1322156
8th,950240,549623018.2853442,4616745812.021308
Blackbird,622980,300674595.1829152,2607180909.7666726
Truax,207254,1882325131.5138323,1434744401.3519752
Reindahl,554538,399374725.6859842,111909817.89123514
Lighthouse Bay,83830,1217476523.3282464,125457759.29033197
Di Loreto,122146,621802522.6912539,7634375642.792608
Hoard,766723,2023569791.9688916,203197388.9509951
Walton,998526,1635421854.4914768,217964537.78141567
Tennessee,311435,1160264827.645812,184411797.99040142
Myrtle,476948,426539880.7129987,61903612.64400353
Quincy,85965,401513844.3135622,2229481336.530443
Derek,408929,1884057456.12582,2470891098.7663593
Waxwing,638070,2122958782.2225542,2599810858.624233
Carberry,903610,1103864331.7718124,6538898900.484978
Reindahl,91830,1480875616.0670855,246677774.72005874
Erie,727725,666057726.5851703,143235757.90005007
Hansons,738892,968950337.136595,2894488288.729404
Oneill,175927,550364986.9865943,2462289999.0878296
Dunning,633684,1677120911.7037055,276481503.79430014
Darwin,343063,231616782.6998316,544249449.3275821
Randy,195456,257669911.26484573,5665144089.589242
Clemons,180637,439802102.3430301,770649268.5000163
Dakota,495922,23632701.38042721,4489838750.4234085
Mesta,342376,375873396.6057034,6693316614.982833
Evergreen,516011,1850511003.4494426,5158009879.422781
Barnett,395385,73375022.2821332,3758162552.113851
Hudson,366609,1071716986.2535884,4615365497.630063
Eagan,256338,1455623847.9344862,1557491024.8843474
Marcy,775409,166991298.44318846,298641898.0317035
Grayhawk,847696,1185445271.4862537,1363885534.979831
Morrow,564999,1068734398.7768838,1937851351.3765965
Spaight,325652,1173895.3507273758,3154472572.7156177
Pawling,360692,204212565.0758005,935238190.4070863
Quincy,221407,410123703.73065096,402303473.997274
Monterey,566171,921796574.018825,1432752520.4240923
North,258792,1409510079.2066767,773105834.7224995
Pine View,771180,638451389.0506314,2763734459.304192
Troy,459265,1856119087.352525,239455240.76630217
Kinsman,450775,2001693010.0208232,1422803267.188459
Lerdahl,606119,1262702917.882404,1939024639.4896502
Independence,389337,508252019.06850153,1632608079.7535152
Sycamore,738993,1711844663.1442797,1969544396.4186754
Tennessee,442020,799903110.7765589,2551549539.3111997
Armistice,33567,545950308.2950032,2663341206.227334
Victoria,614958,1626153968.6916842,2648927882.0973315
Messerschmidt,298474,1675768658.0564456,2236516392.7651563
Pawling,860233,944408267.2190889,1404196238.587964
Green,968579,1140149952.1952038,3065683870.170261
Green,748076,232761108.53227532,1291654858.306367
Valley Edge,247622,564481579.4695396,6675160967.650246
Becker,958536,1136629509.3395174,1365897599.944782
Dayton,814679,854804606.5450006,2539257190.0365243
Grayhawk,984105,1672206072.8125873,2766320341.390402
Clemons,153919,18777361.97330057,2066108095.7946537
Chinook,859771,1603834372.2942696,696081215.6686889
Kim,284430,923655422.3396121,2886728545.3124943
Dawn,721703,920156452.2258765,70718169.74365473
Scofield,357965,1718830499.6901538,138835826.9270477
Veith,249628,1888052120.918887,2238821712.630332
Muir,925364,149900523.59247983,5540622590.797246
Del Mar,964995,1713015535.160108,134366552.20128283
Debra,564108,477674233.4342102,69728181.63790897
Lotheville,751362,243580014.68515557,1296350181.2558563
Gateway,998290,1426551503.7264905,484265032.1093813
Melvin,200647,990673417.2474763,3898449772.499572
Kings,681640,1980089565.7521207,3020131333.9020853
Stuart,693579,784276735.4038087,999459570.6332477
Granby,397351,466328771.96138084,1906488394.5778892
Stuart,684266,1110083923.767292,1881144421.445151
Arrowood,832412,497900577.124135,5648669823.245896
Susan,23077,1486578886.0462966,520388045.1767418
Mosinee,887181,2083274288.5646133,2018855132.660248
Steensland,179110,964241397.7839451,113277329.19795743
Daystar,242182,1999591356.6072803,11162815844.06548
Meadow Ridge,548471,2061838392.476159,2018867350.0050118
Bartillon,847371,67751889.12709571,2131374905.564857
Summit,154619,427418247.6991827,1860071904.1794586
Anthes,734334,637524076.7760103,4788678251.88813
Nelson,879159,101662477.50423157,4011643364.893389
Ryan,156727,938316024.1768476,4457825783.941718
Sheridan,41915,2094758202.7817333,579997316.3176279
Hovde,578790,982701731.2126464,655057841.2488763
Sloan,492212,1881831436.7173867,3482172021.4765453
Clemons,72384,93391501.82805294,1576971111.3334537
Cambridge,586946,1080211260.3446693,2681576775.6294365
Hintze,949582,1638610416.4649646,474922829.5831039
Superior,845398,1388391854.969462,2002351323.0283527
Walton,554180,518441967.15543866,1162104581.6604474
Westend,970023,1245706802.7374675,8082986990.280825
Di Loreto,308194,892484342.726082,2070689359.420942
Waywood,590217,1082186496.352094,4536553441.643221
Claremont,648945,860903116.7498509,2912959962.3185596
Florence,330185,1531720795.3084302,2802438541.9968047
Talisman,544775,291089939.1597276,2401011704.6001024
Dexter,883256,101991163.04902327,770804803.6214287
Union,110813,2087817762.1146798,104322895.37994128
Helena,265850,401094514.9381774,3274139118.689345
Waxwing,531736,440097342.2954068,1257180024.0728993
Ridgeway,246342,792904994.9401461,1729372688.9189165
Hanson,991852,1794964687.0740604,5867314506.498248
Walton,763488,466509103.9403471,2808114966.1064115
Delladonna,886607,410824255.17869925,264839450.8725455
Londonderry,299878,1682605444.083994,4825755409.058156
Rigney,835311,500003336.9726496,3200739367.973955
Victoria,913666,130509655.42541607,2617938199.6748333
Muir,557481,899155109.6097289,4048411510.5618596
Mendota,154716,1259652194.126763,2503406024.50944
John Wall,540813,2048803868.8475823,1478078214.6488616
Jenna,560322,905866811.4373639,829949374.408565
Dorton,48341,422956101.46513766,88628706.93927872
Bunker Hill,303938,1017226689.8701079,2498456245.0799055
Rutledge,817774,310784488.3745122,2682814516.0359583
Steensland,921027,2095266510.0974934,1404803095.2662706
Mccormick,647226,246553298.27663174,2098242038.153108
Morrow,621024,2065010243.1904302,323560262.8794923
Eliot,888853,884840496.4018273,1724653553.3526506
Lakewood Gardens,78545,1111195574.6275551,2025728401.334991
Barnett,21014,255780134.51030812,1395555284.4338262
Cordelia,762265,1174228563.086068,1138831798.323618
Buell,31247,1112235847.780839,9056916152.709852
Walton,140757,1443854281.9532912,1229020986.7782881
Nancy,276541,1263811304.9203918,895740688.0869607
Huxley,790340,813596345.4368433,1895905613.088187
Huxley,465219,1297528871.139163,4651904072.689149
American,955016,915607765.9164959,3327089442.3828893
Autumn Leaf,415224,623448635.1076562,192432324.5436276
Crescent Oaks,224611,536447179.81780493,3833025962.811408
Union,939109,203420162.1546502,1169219303.5697734
Union,28128,1953681999.8099735,141000770.58089146
Hovde,480726,1660257826.6094356,1600211539.960359
Dwight,633456,75652147.84686467,543752375.4155413
Buena Vista,567105,233153366.74472985,2885386379.0466313
Browning,9182,957711016.827355,886682584.3017123
Bonner,179413,1418525570.8622196,3766247901.2455287
Manufacturers,415648,1993553307.3056037,3602673104.445061
Darwin,248438,2053310062.710054,5265591934.125895
Cardinal,51884,1232238228.841122,3961200493.9757257
Meadow Ridge,412753,203021811.06542826,1396554523.5961406
Larry,63012,720184881.1741014,1303618736.4268258
Helena,621923,448276083.79326695,1826740678.6803167
Paget,960108,1061328702.2137796,2148012966.633905
Vahlen,942856,844986242.7650108,28798991.43365909
Blaine,506728,1965104897.7655473,2846428048.0829782
Warrior,567918,818856495.3467951,6817148200.0567255
Fordem,142805,1438700658.0056632,2641417180.9779806
Melvin,486459,1189514574.0187945,302765978.0002839
Morningstar,389525,923380666.1362464,9868249852.803757
Eliot,117909,1791074851.3929927,2620275728.40713
Dawn,145392,1875714255.140727,850557121.2853519
Iowa,787197,1388779831.0829637,3475615.1252533887
Sycamore,647062,1942554653.471632,1374191934.874614
Rigney,941519,1252280113.0738297,2407460483.110868
Del Mar,456457,1188011072.43277,418780323.7704897
Barnett,516009,229128970.25018394,4830137278.978954
Carberry,375189,1271615379.6114306,6097321684.749209
Mandrake,367207,1548129689.495249,182046726.17590168
Hazelcrest,772243,1591916290.1686857,7451557889.312636
Hoard,185301,982738029.7528667,1266188523.6598272
Forest Run,190987,1150299405.8137813,1787395933.8599243
Helena,538217,1495989505.7834496,961867729.066824
Hollow Ridge,187847,528680888.70956284,1590075816.51215
Lien,776436,471046355.9532565,963020870.1552783
Evergreen,967134,1552917411.914402,463241566.6780426
Emmet,706622,1685811301.3748941,6143074958.187374
Helena,58523,68368216.54904468,1819339342.8352277
Gateway,155519,33279773.626392946,321019439.7687671
Reinke,669482,1559187010.818931,995439567.4091516
Hayes,633630,1969986008.530832,1870527628.2426975
Morningstar,673412,1084889048.9602237,908949498.6819316
Bellgrove,563107,207947010.62512386,230210690.41911897
Talisman,890720,255644822.9446997,3851566104.067811
Loomis,706964,1187682344.4231436,1163428993.2454093
Coolidge,510341,1027917286.8254776,865212625.6834741
Dixon,287731,1029647657.0065418,2441569906.531028
Waywood,434321,383858517.1676925,747948186.2068237
Nancy,495857,1913045521.0804594,5122139541.510004
Moose,772744,663300967.8044823,7249030234.566669
Dapin,477379,1874169631.8434634,363431606.4464225
3rd,869257,174984915.8626887,2398129558.213302
Pawling,675752,1609509008.3986747,3527345810.445503
Forest,71040,342176536.40837204,1195888309.056664
Anniversary,903160,862520942.9468086,136807357.02593756
Magdeline,822738,1157559937.584975,1941155136.618794
Spenser,455689,1489751980.4934664,85506109.57611719
Meadow Ridge,583000,236843671.12715286,321649066.26591533
Prairie Rose,662934,1033428150.3124737,711515406.2654061
Bartillon,850695,78137739.26799065,1716389556.9540422
Bellgrove,979441,2014206589.749606,3943798601.6707006
Morning,550037,1098638799.2530968,636543716.1141422
Lakewood Gardens,244968,1406279115.6051116,1186733958.0757973
Tennyson,479868,1874540791.7777455,373571015.22697324
Dottie,949801,3037204.094223967,1705023434.9921098
Paget,875170,309201392.94464993,4785407994.244634
Kim,303308,1383453038.568962,1002481046.7926067
Oxford,556396,1331639.9202761985,1265218678.833399
Ryan,777141,1008478511.4445313,2742678967.328252
Talisman,426345,469821703.46458566,379620653.3707423
La Follette,880329,1095955326.2465289,2978249983.3450556
Eastwood,13900,836798145.2159487,316618701.3431296
Larry,708598,694847504.132093,2323755441.2597256
Troy,214925,1650876478.762622,810012902.5845436
Golf,188294,2020810410.127117,3405699300.788076
La Follette,574768,1946189391.7445116,829486646.141806
Melby,251595,1547472541.086021,2442890056.6620235
Bobwhite,766956,1988943365.0381083,4504788061.8489
Sachs,478837,763482876.7489759,976626959.0763493
Anthes,957189,1851878840.5953293,1348227630.005669
Dwight,723667,428060231.51976126,626806750.4187611
Toban,835994,1183679025.528157,4194993276.169739
Holmberg,146926,1544200000.2249453,488866102.24825686
Paget,407653,68920529.08097257,34272586.47160995
Hallows,198695,33852910.25814963,218857588.1623425
Hanson,618894,924268756.0865456,797691848.1586587
Warrior,54179,578662865.3242116,3759715869.8898077
Colorado,667970,1705840087.4960577,6924318525.966091
Evergreen,159300,1935019640.8266034,2362438542.640059
Buell,525143,627993366.5049652,173040711.05528685
Riverside,676644,1113513089.014429,3272990086.7519894
Straubel,289950,2136075282.2909756,6921192251.206075
David,589334,763025605.1890517,873455653.3179643
Straubel,465192,75376667.40179418,881911185.366775
Colorado,311968,741723530.06336,464280196.3874078
Ridgeview,81985,1611964808.8278847,768917923.247606
Lerdahl,305958,1898877107.0103028,4072057255.931634
Holmberg,231926,251616730.24001625,1908971286.251485
Aberg,944741,1005588264.840602,17905795.47833898
Rowland,876156,1012267128.6684258,56870371.09055041
Hoepker,712596,413763418.69813496,5153432725.045072
Golf Course,742076,7106671.785220809,4513759872.062491
Pine View,509607,1832051259.0673666,2396771125.8602057
Daystar,386757,741232071.0357165,1095339852.3122573
Karstens,468609,294946941.5061924,1673474327.90977
Judy,959759,1791619885.0032759,3678073631.0472274
Dwight,912157,663109459.3498834,41578577.96968972
Alpine,423123,629231345.6696807,2510974309.418251
Banding,909758,1000953492.7251047,2525832391.2052355
Hauk,72134,1917554194.3175695,5169835949.571664
Pawling,391467,1804109248.618394,368794959.5457748
Golden Leaf,245402,1309351050.5040414,872976662.7262906
Lake View,280279,662820261.971226,2312604116.1861324
Quincy,956621,1151483640.195557,4611513523.834883
Hintze,253152,1601152428.3005164,2529301605.681076
Emmet,965652,1535951369.6189106,386666829.7321457
Toban,556181,251939149.9798821,473513594.78481805
Iowa,231713,513873476.93443364,728110875.3770365
Waubesa,764392,2123139741.5501502,1531019203.4240937
Ridge Oak,648364,2128457788.3583636,2397606209.6113214
Meadow Ridge,747076,984004251.5154623,4488257513.178519
Buell,503016,1643099278.3790953,4229642193.182343
Golf View,309661,969016441.396733,1687162496.6997426
7th,353680,256598880.99420434,40997172.38315287
Spaight,585448,1573578587.0264895,7191181473.374982
Riverside,214371,1814987806.707622,2079085509.252011
Helena,428664,628945191.9939028,2400671380.3863883
Briar Crest,891173,1351912239.2835612,3124911417.5127378
Loeprich,121507,260844629.3188593,867117454.2418404
Holy Cross,303140,77590454.15912703,2048305788.936669
Talisman,968513,1576655540.4413903,1376894386.8711064
Marcy,453935,578982245.4518546,1210722513.8397822
Rusk,639414,1844085694.1250327,1370087067.808543
Morningstar,897632,1845887305.580905,2327753113.281269
Blaine,533275,681836513.3200278,7723433376.384663
Shelley,692742,1238275279.9150743,1611684516.9236484
Summerview,847728,946137285.6772763,68360363.65850845
Roth,171630,1028622122.4407281,533237389.87291354
Iowa,681887,1770457042.1032093,1918517057.8081305
Forest,218558,416871330.8627983,255500928.24256152
Commercial,743293,1400146428.9223456,442279828.3379098
David,20770,1828894671.5577962,7077905448.716507
Messerschmidt,972364,1609398245.3992207,41256349.92817974
Duke,523392,1996871535.5619137,664565866.6805419
Southridge,27661,1746921283.9259207,681643708.2247944
Lake View,769596,1164982628.4321215,1757393317.5298085
Sunbrook,172425,283724829.6245105,3963184117.301766
Fairfield,450010,979384748.0901811,2801483389.368201
Waubesa,528871,308141191.1279122,1139675454.996176
Mendota,960368,1133503714.309788,5659337069.56125
Mccormick,319968,2124377212.3794577,818432097.2734768
Golf Course,34958,1490010528.3012738,260614625.17687008
Fisk,630544,1561606445.6854484,2673059207.0082803
Roxbury,480244,934501784.9450023,1524764834.8257437
Iowa,407454,1831855628.9972978,1199400854.566876
Ruskin,274889,1702142568.2854364,5182804048.199481
Ryan,652284,204793646.41140398,4623029475.940313
Saint Paul,459243,103578053.24295643,2160606326.546611
Waubesa,592768,907272284.0488071,288324431.8453983
Eastwood,687290,157935025.1405168,1099739174.9010184
Pine View,499374,1013297159.7908583,726698676.2089322
Eastlawn,356162,1684306197.4431424,4768167039.107015
Center,374355,1614833664.970275,2701075509.741332
Porter,280384,433667359.19835985,417391768.9801047
Granby,295040,1067188226.3166108,480902800.3819834
Porter,333332,1937481387.8136618,4069228636.5073094
Laurel,995160,211249841.70721403,549120664.195591
Washington,78022,1536321899.0856102,149863384.13061774
Kings,781948,850568071.1247962,468152244.39631516
Eggendart,864254,433234071.8377575,2270626587.649573
Golden Leaf,325023,701972681.793682,2409731920.8148546
